"code","message","coupons__coupon_id","coupons__coupon_code","coupons__coupon_name","coupons__name","coupons__description","coupons__type","coupons__is_active","coupons__discount_by","coupons__discount_type","coupons__discount_value","coupons__redemption_count","coupons__status","coupons__max_redemption","coupons__expiry_at","coupons__created_time","coupons__rule_type","coupons__stop_after_this_rule","page_context__page","page_context__per_page","page_context__has_more_page","page_context__report_name","page_context__applied_filter","page_context__sort_column","page_context__sort_order"
"0","success","5382429000000089557","UKNDZ8LEGIFM","primera prueba","primera prueba","","one_time","True","percentage","percentage","15","4","active","-1","2025-03-12","2024-07-06","","","1","200","False","zos.coupon.list","Status.All","created_time","A"
"","","5382429000000118003","ICV9LRQWRNJZ","Dia Del padre","Dia Del padre","Cupon creado para la campaña del dia del padre","one_time","True","percentage","percentage","15","0","active","-1","2025-06-30","2024-07-10","","","","","","","","",""
"","","5382429000000118010","ENRJ4HRHUJOW","Dia del Amor y la Amistad","Dia del Amor y la Amistad","Campaña del dia del amor y la amistad","one_time","True","flat","flat","25.000","0","active","100","2025-02-28","2024-07-10","","","","","","","","",""
"","","5382429000000118017","WC3UXRUUT5JY","Mes Civido","Mes Civido","","one_time","True","percentage","percentage","25","0","active","-1","2024-09-30","2024-07-10","","","","","","","","",""
"","","5382429000000118024","4ET6TXDTJWLF","Navidad","Navidad","","one_time","True","percentage","percentage","25","0","active","-1","2024-12-31","2024-07-10","","","","","","","","",""
